PRA PSL 90%/1	0.0	0.0	0.0	1.4285714285714285e-05	2.857142857142857e-05	0.005757142857142857	148474.43234285715	0.0008869106972780653
PRA PSL 50%/1	0.0	0.0	0.0	0.0	7.142857142857143e-05	0.005528571428571429	148520.45052857144	0.0008911904373477282
PRA No PSL/1	0.0	0.0	0.0	1.4285714285714285e-05	5.714285714285714e-05	0.007514285714285715	145310.66524285715	0.0010530030139473492
PRA PSL 90%/2	0.0	0.0	0.0	1.4285714285714285e-05	7.142857142857143e-05	0.006685714285714285	147469.24787142858	0.0009819131060827004
PRA PSL 50%/2	0.0	0.0	0.0	1.4285714285714285e-05	0.0001	0.0069	147441.51962857143	0.000989062250852005
PRA No PSL/2	0.0	0.0	0.0	0.0	0.00012857142857142858	0.008214285714285714	145242.576	0.0010802701607614928
PRA PSL 90%/3	0.0	0.0	0.0	0.0	0.0001	0.0064285714285714285	146717.39491428572	0.0009711552305234598
PRA PSL 50%/3	0.0	0.0	0.0	0.0	0.00011428571428571428	0.0066	147145.0853142857	0.0009571624651115073
PRA No PSL/3	0.0	0.0	0.0	0.0	0.0001	0.007057142857142857	144646.82678571428	0.001062640198405513
PRA PSL 90%/4	0.0	0.0	0.0	1.4285714285714285e-05	0.0001	0.007	146725.04882857142	0.0009881235434941508
PRA PSL 50%/4	0.0	0.0	0.0	1.4285714285714285e-05	5.714285714285714e-05	0.006728571428571428	146397.15445714287	0.000981660202296838
PRA No PSL/4	0.0	0.0	0.0	1.4285714285714285e-05	0.00011428571428571428	0.007814285714285715	144919.15297142856	0.001077233649783531
PRA PSL 90%/5	0.0	0.0	0.0	1.4285714285714285e-05	7.142857142857143e-05	0.006242857142857143	146920.90167142858	0.0009683415005730633
PRA PSL 50%/5	0.0	0.0	0.0	2.857142857142857e-05	8.571428571428571e-05	0.006485714285714286	147223.07767142856	0.000985534043360081
PRA No PSL/5	0.0	0.0	0.0	1.4285714285714285e-05	7.142857142857143e-05	0.007985714285714285	145347.81771428572	0.001066102424515302